SKU,Short description,Tags
STO-ITEM-2020-00493,<ul>\n<li>কোডোমো ডেন্টাল কিডস বেবি টিথ সেট ০.৫-৩ ইয়ার্স</li>\n</ul>\n,"টুথ,ব্রাশ,কোডমো,বেবী,codomo,babi,brash,toothbrush"
STO-ITEM-2020-00494,<ul>\n<li>কোডোমো কিডস টুথ ব্রাশ সেট ৩-৬ ইয়ার্স</li>\n</ul>\n,"টুথ,ব্রাশ,কোডমো,বেবী,codomo,babi,brash,toothbrush"
STO-ITEM-2020-00495,<ul>\n<li>কোডোমো ডেন্টাল কিডস সেট ৬ ইয়ার্স প্লাস</li>\n</ul>\n,"টুথ,ব্রাশ,কোডমো,বেবী,codomo,babi,brash,toothbrush"
STO-ITEM-2020-00502,<ul>\n<li>অর্কিড ওলিভ অয়েল গ্লাস ২৫০ মিলি</li>\n</ul>\n,"ওয়েল,তেল,tel,orkid"
STO-ITEM-2020-00510,<ul>\n<li>লাভ বেবি সুপার বেল্ট স্মল ৩-৬কেজি ৩১ পিস</li>\n</ul>\n,"ডায়পার,বেবী,diaper,diper,baby,love baby"
STO-ITEM-2020-00511,<ul>\n<li>লাভ বেবি সুপার বেল্ট মিডিয়াম ৪-৯কেজি ২৯ পিস</li>\n</ul>\n,"ডায়পার,বেবী,diaper,diper,baby,love baby"
STO-ITEM-2020-00512,<ul>\n<li>লাভ বেবি সুপার বেল্ট লার্জ ৭-১৮কেজি ২৫ পিস</li>\n</ul>\n,"ডায়পার,বেবী,diaper,diper,baby,love baby"
STO-ITEM-2020-00515,<ul>\n<li>এভোনি পেন্ট স্টাইল ডায়পার স্মল ৪-৮ কেজি ৫ পিস</li>\n</ul>\n,"ডায়াপার,বেবী,dieper,diper,babi"
STO-ITEM-2020-00516,<ul>\n<li>এভোনি পেন্ট স্টাইল ডায়পার মিডিয়াম ৭-১২ কেজি ৫ পিস</li>\n</ul>\n,"ডায়াপার,বেবী,dieper,diper,babi"
STO-ITEM-2020-00517,<ul>\n<li>এভোনি পেন্ট স্টাইল ডায়পার লার্জ ৯-১৪ কেজি ৫ পিস</li>\n</ul>\n,"ডায়াপার,বেবী,dieper,diper,babi"
STO-ITEM-2020-00519,<ul>\n<li>এভোনি পেন্ট স্টাইল ডায়পার স্মল ৪-৮ কেজি ৪২ পিস</li>\n</ul>\n,"ডায়াপার,বেবী,dieper,diper,babi"
